133353	7196	fails to fascinate	0
143890	7809	Slap me , I saw this movie .	0
34961	1645	premise , mopes through a dreary tract of virtually plotless meanderings and then ends with a whimper .	0
147085	8005	especially when the payoff is an unschooled comedy like Stealing Harvard , which fails to keep 80 minutes from seeming like 800	0
123488	6631	a movie as artificial and soulless as The Country Bears owes its genesis to an animatronic display at Disneyland	0
97659	5112	This stuck pig of a movie	0
65646	3326	's just too boring and obvious	0
80866	4168	he 's already done way too often	0
101094	5313	The problem with ANTWONE FISHER is that it has a screenplay written by Antwone Fisher based on the book by Antwone Fisher .	0
77143	3968	A glossy knock-off	0
44893	2177	to insult the intelligence of everyone in the audience	0
76295	3918	begin to long for the end credits as the desert does for rain	0
36791	1743	are neither original nor are presented in convincing way	0
75457	3868	not a movie make	0
52441	2594	ick '	0
21555	964	nearly as dreadful	0
125584	6746	like the longest 90 minutes of your movie-going life	0
101623	5348	Flat , misguided comedy	0
92590	4824	's a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics too smug .	0
97193	5081	, should n't have been made	0
130452	7029	a stiflingly unfunny and unoriginal mess this	0
126560	6805	the , yes , snail-like pacing	0
115193	6136	has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler	0
144388	7839	an ungainly movie , ill-fitting , with its elbows sticking out where the knees should be	0
92578	4823	pity anyone who sees this mishmash .	0
121298	6496	a remake -RRB- do anything as stomach-turning as the way Adam Sandler 's new movie rapes , pillages and incinerates Frank Capra 's classic	0
31005	1445	This wretchedly unfunny wannabe comedy is inane and awful - no doubt , it 's the worst movie I 've seen this summer	0
78442	4034	saw how bad this movie was	0
148591	8084	render it anything but laughable	0
29552	1369	, I 'd rather watch them on the Animal Planet .	0
71549	3650	no chemistry or engaging charisma	0
82429	4256	disguise the fact that it 's inauthentic at its core and that its story just is n't worth telling	0
129641	6973	A thoroughly awful movie -- dumb , narratively chaotic , visually sloppy ... a weird amalgam of ` The Thing ' and a geriatric ` Scream . '	0
39468	1885	-LRB- The kid 's -RRB- just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow	0
133132	7180	less like a cousin to Blade Runner than like a bottom-feeder sequel in the Escape From New York series .	0
119359	6382	a hokey piece of nonsense that tries too hard to be emotional .	0
126676	6811	certainly wo n't win any awards in the plot department	0
153776	8400	seems to have cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting to its last-minute , haphazard theatrical release .	0
35338	1662	It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess , piss on trees , b.s. one another and put on a show in drag	0
135069	7291	Like a soft drink that 's been sitting open too long	0
119689	6401	is a total misfire	0
140708	7634	goes on for too long and bogs down in a surfeit of characters and unnecessary subplots	0
58157	2931	pathetic	0
40725	1951	plain crap	0
75636	3878	Because the intelligence level of the characters must be low , very low , very very low , for the masquerade to work	0
61927	3132	There are many definitions of ` time waster ' but this movie must surely be one of them .	0
112334	5965	, stay away .	0
89531	4655	gets violently gang-raped	0
55691	2785	A derivative collection of horror and sci-fi cliches .	0
88540	4600	whether compromise is the death of self ... this Orgasm -LRB- wo n't be an -RRB- exceedingly memorable one for most people	0
35377	1663	is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing	0
134105	7237	confusion and pain	0
83210	4297	difficult to conceive of anyone who has reached puberty actually finding the characters in Slackers or their antics amusing , let alone funny	0
48100	2345	with this silly little puddle of a movie	0
97986	5132	into a black hole of dullness	0
129749	6983	a bad premise , just a bad movie	0
129200	6948	A dull , simple-minded and stereotypical tale of drugs ,	0
57365	2892	as if a bored Cage spent the duration of the film 's shooting schedule waiting to scream : `` Got AIDS yet	0
37989	1806	feel my eyelids ... getting ... very ... heavy	0
64040	3240	This is a fragmented film , once a good idea that was followed by the bad idea to turn it into a movie .	0
73799	3775	suspect that you 'll be as bored watching Morvern Callar as the characters are in it	0
36291	1715	is n't even a movie	0
31009	1445	wretchedly unfunny wannabe comedy	0
39432	1883	, Windtalkers seems to have ransacked every old World War II movie for overly familiar material .	0
18986	833	been held hostage by generic scripts that seek to remake Sleepless in Seattle again and again	0
78866	4059	The movie has a script -LRB- by Paul Pender -RRB- made of wood , and it 's relentlessly folksy , a procession of stagy set pieces stacked with binary oppositions .	0
82704	4270	biggest disappointments	0
76550	3936	preposterous , prurient	0
77537	3988	depends largely on your appetite for canned corn .	0
42678	2060	, here comes the first lousy Guy Ritchie imitation .	0
28099	1291	covers just about every cliche in the compendium about crass , jaded movie types and the phony baloney movie biz .	0
90443	4707	pushed into the margins by predictable plotting and tiresome histrionics	0
110715	5866	` In this poor remake of such a well loved classic , Parker exposes the limitations of his skill and the basic flaws in his vision . '	0
116110	6188	treats his audience the same way that Jim Brown treats his women -- as dumb , credulous , unassuming , subordinate subjects .	0
67260	3413	90 punitive minutes	0
16852	730	You can not guess why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed .	0
84232	4353	comes off as only occasionally satirical and never fresh	0
105310	5560	, it 's pretty stupid .	0
61400	3103	cliches and pat storytelling	0
55376	2763	truly bad	0
119568	6392	Wewannour money back ,	0
52255	2581	is so bleak that it 's hardly watchable	0
79635	4099	is definitely meaningless , vapid and devoid	0
149821	8158	The story of Trouble Every Day ... is so sketchy it amounts to little more than preliminary notes for a science-fiction horror film , and	0
110992	5881	profoundly stupid	0
77954	4011	are too ragged to ever fit smoothly together	0
38312	1824	A long , dull procession of despair , set to cello music	0
75193	3857	For its 100 minutes running time , you 'll wait in vain for a movie to happen .	0
154935	8476	lags badly	0
109970	5824	's equally distasteful to watch him sing the lyrics to `` Tonight	0
130233	7013	like an extended dialogue exercise in Retard 101	0
104501	5515	The picture emerges as a surprisingly anemic disappointment .	0
115488	6153	's hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one	0
35771	1688	`` Bad '' is the operative word for `` Bad Company , '' and I do n't mean that in a good way	0
