Id,Prediction
0,8371719.86
1,3696947.675
2,4409731.97
3,3929620.34
4,4004095.365
5,4500915.97
6,3853699.31
7,5027547.96333
8,4732082.785
9,4842936.7
10,4815957.815
11,3879038.03333
12,4522214.41
13,4607507.915
14,4410815.21
15,4790964.72
16,5304064.25
17,4170862.31
18,4112244.4925
19,4430802.23
20,3499867.8375
21,5310451.32
22,6147586.86583
23,4261469.49
24,4718319.865
25,3377405.73167
26,2978108.945
27,5351008.18083
28,4212290.54
29,7544473.88183
30,4733573.58167
31,4374379.115
32,4549238.94
33,5072106.47
34,3329077.5
35,4348923.165
36,3858172.235
37,3840002.295
38,2436101.98
39,4233830.3
40,6262563.345
41,5110592.70917
42,4427264.77042
43,8092311.36
44,4931507.575
45,3456769.245
46,7984422.1925
47,4210973.33583
48,5055746.08
49,4747026.4
50,4511964.2525
51,4814807.38
52,4435779.3675
53,3914021.0
54,3161233.405
55,6142058.30258
56,4017549.075
57,5722458.245
58,5326607.18425
59,4560428.48
60,3158563.055
61,4983760.30917
62,4221063.50167
63,4919974.85167
64,7425298.17
65,4194640.53
66,5154074.21542
67,7179894.43
68,8917079.54
69,3956062.625
70,4136372.715
71,5289499.66
72,7828303.0
73,5333446.095
74,5745327.65
75,4346120.365
76,3581561.04
77,4307212.4
78,7338758.065
79,8097239.625
80,6263905.44967
81,3276304.295
82,5197986.52792
83,7632330.36
84,5294324.16375
85,2084527.105
86,6016012.3825
87,4825426.5425
88,4826816.00933
89,4987754.445
90,5886368.151
91,3540581.895
92,2310663.63
93,7075513.335
94,3883454.51833
95,3986447.03
96,5331675.52833
97,8481476.805
98,4398140.83
99,4865738.0
100,3678274.945
101,2425183.885
102,4455413.585
103,4282546.79
104,2728366.19
105,3516827.94
106,5204809.4185
107,3557193.755
108,5390829.12833
109,4312460.17
110,5378231.07042
111,6395583.855
112,3989635.815
113,4300761.395
114,3923877.75
115,8950142.075
116,3814798.065
117,7480441.68
118,3349224.075
119,5155933.48833
120,4692821.085
121,5116626.375
122,3341289.48
123,6493446.62
124,4541143.165
125,4380535.04917
126,3975201.855
127,3470594.835
128,3689186.8
129,4169598.225
130,2443392.015
131,5084351.82
132,6919443.63533
133,6736152.23
134,4671129.12167
135,3963710.2155
136,4386273.28
137,4462122.795
138,8470206.77417
139,8296196.31
140,4258512.76
141,3448740.93
142,4111228.8075
143,3541541.805
144,7915741.655
145,3899262.2225
146,4694616.155
147,3126179.245
148,8255361.185
149,7409790.48
150,3749475.035
151,4199100.73833
152,4565945.9775
153,4319814.39
154,3859118.1075
155,4494085.625
156,4852819.445
157,5253947.584
158,4526773.70333
159,4008647.34
160,8199868.27
161,5265420.84
162,3767091.245
163,5258791.785
164,5023257.9925
165,4899560.5
166,5706483.42708
167,4569219.985
168,3545688.84333
169,4808664.655
170,4615836.09
171,8355929.69667
172,4115228.86
173,2839478.83583
174,4577512.60667
175,4760070.02333
176,6284790.7855
177,3722885.075
178,6154697.3975
179,4608742.37167
180,3996954.8
181,4297350.975
182,4065957.265
183,6137378.46292
184,4235511.59
185,2863843.805
186,7521797.9575
187,8124302.39
188,5370424.94017
189,4881005.935
190,4552964.0525
191,4729516.425
192,5956427.4525
193,4216385.72
194,3662190.295
195,5513189.5875
196,4320091.325
197,2420072.765
198,3854817.28
199,4171909.015
200,4089558.8
201,3567011.09833
202,4477825.005
203,4739536.3375
204,5826823.82917
205,4447764.845
206,8603291.1475
207,4380107.35
208,4317170.455
209,3242051.09
210,4595164.19
211,4486303.27
212,3926991.49
213,3892632.22
214,5065074.30583
215,2503976.88
216,4425421.515
217,5344736.228
218,4530958.27
219,4046585.175
220,4398266.45
221,4564571.56167
222,5184449.67
223,4492721.135
224,4262096.71
225,5045780.4025
226,4042995.26583
227,4658722.004
228,3346778.11
229,6448500.06
230,8555850.005
231,4560713.6025
232,4591892.23
233,4692262.925
234,4485265.485
235,4683370.19
236,3727771.045
237,3053930.91
238,4689508.065
239,6234432.6935
240,6373737.4
241,3317318.795
242,4387736.855
243,4030687.13
244,5165771.505
245,6450904.81708
246,4228377.50417
247,3895630.50167
248,4408424.365
249,4477489.90333
250,4338153.625
251,5415320.97375
252,9854027.5775
253,4581454.855
254,5240286.185
255,4104245.525
256,3045321.44
257,3776821.995
258,4252224.87
259,3751378.51
260,4988504.53167
261,4290130.505
262,5789455.2075
263,4926770.95583
264,2420209.1
265,4670479.53875
266,4059499.5925
267,4699561.4925
268,9394126.66
269,3968024.57
270,3626129.4
271,4268970.895
272,4746533.48
273,4780687.6225
274,4145324.20667
275,9875290.90383
276,4999319.335
277,3835715.76333
278,4559972.555
279,3742493.155
280,4798478.285
281,4930355.7525
282,3677523.29
283,4150463.38
284,5972622.99167
285,3384560.2525
286,5473034.335
287,5065688.225
288,5616945.26917
289,5724138.835
290,4363379.685
291,4480136.835
292,8683782.31583
293,6168846.25167
294,3095231.46
295,7184419.085
296,4619413.67083
297,5194748.26833
298,4724123.415
299,5029709.53
300,6650325.52
301,5099413.515
302,4661648.52583
303,3602100.67
304,5503836.19267
305,5055505.22917
306,3418965.0
307,5649574.64125
308,2719644.555
309,4194077.165
310,5226945.87167
311,3438673.065
312,3437607.685
313,4991148.35417
314,4443851.7
315,5519777.11792
316,4032471.42
317,5607754.61392
318,4937813.685
319,9681628.87
320,10300792.4058
321,4360165.215
322,3771958.075
323,8613707.525
324,4015933.64
325,4648906.5325
326,6294184.24417
327,4551950.47
328,4112150.76833
329,10486115.8035
330,4329709.605
331,4393978.37
332,4951483.61583
333,7066399.235
334,6591881.73
335,4670742.86167
336,2910032.875
337,4589608.31
338,5291126.7575
339,5342669.675
340,6839337.61625
341,3189526.055
342,5002156.6775
343,4533749.94
344,3691594.595
345,4092365.795
346,4391167.79
347,9115938.005
348,3701687.865
349,3570760.425
350,4575642.345
351,3950159.41083
352,4818596.17
353,9468675.015
354,4562851.52667
355,6801347.244
356,5050053.47
357,4702255.70725
358,4502249.55
359,4795974.365
360,4169598.225
361,3721557.195
362,3947323.71
363,5962527.1875
364,4706265.4225
365,6190482.12417
366,3193458.905
367,5145910.363
368,4295845.01
369,4283065.42
370,5085849.79
371,4920920.1
372,4292562.34
373,7692578.4125
374,4933945.18042
375,4690301.2875
376,3262080.5125
377,3955043.5625
378,8401343.255
379,4736619.02933
380,5072853.04333
381,3721598.355
382,8188947.77
383,3557969.17
384,4523974.29
385,5474699.0475
386,5176321.085
387,7763960.385
388,8701562.73
389,6470298.22
390,4902125.25
391,4543722.64667
392,4017661.6
393,4550954.665
394,8929819.83
395,3537011.14
396,8696286.795
397,5154239.3425
398,4880744.12333
399,4442699.8425
400,2750467.285
401,2307457.855
402,5170404.74833
403,3585967.245
404,3700473.035
405,4620049.04
406,4346630.78
407,6986706.69
408,2679293.245
409,3263151.435
410,4284398.7
411,4831699.4
412,3868836.34
413,5650753.25542
414,5395660.151
415,4499121.77417
416,10105995.6875
417,3064996.985
418,4063585.07
419,3503339.47
420,4601278.03
421,7832813.84
422,4782912.4425
423,2943303.11
424,4799879.265
425,9461775.7325
426,7276975.335
427,4750361.075
428,6722480.8825
429,5050002.15
430,3441463.4925
431,3613148.565
432,3612322.73
433,6438387.92583
434,3719332.315
435,5077326.0525
